Date,Hour,Load,Temp,Day,Time
28,15,31.625,27.5,Weekday,Day
28,16,28.75,27.5,Weekday,Day
28,17,24.125,27.5,Weekday,Day
28,18,12.5,26.8,Weekday,Night
28,19,10.875,26,Weekday,Night
28,20,6.875,24.5,Weekday,Night
28,21,5.625,24.5,Weekday,Night
28,22,7.5,24.5,Weekday,Night
28,23,5.375,23.7,Weekday,Night
28,24,5.125,23.7,Weekday,Night
29,1,7.0625,27.1,Weekday,Night
29,2,5,27.1,Weekday,Night
29,3,5.75,27.1,Weekday,Night
29,4,6.5625,27.1,Weekday,Night
29,5,6.75,27.1,Weekday,Day
29,6,14.125,27.1,Weekday,Day
29,7,13.75,27.1,Weekday,Day
29,8,26.1875,27.1,Weekday,Day
29,9,39.5625,28,Weekday,Day
29,10,42,28.9,Weekday,Day
29,11,38.4375,30.7,Weekday,Day
29,12,36.4375,31.6,Weekday,Day
29,13,46.875,31.6,Weekday,Day
29,14,33.9375,32.5,Weekday,Day
29,15,35.9375,32.5,Weekday,Day
29,16,22.75,32.5,Weekday,Day
29,17,14,32.5,Weekday,Day
29,18,12.5,31.6,Weekday,Night
29,19,7.75,30.7,Weekday,Night
29,20,6.625,28.9,Weekday,Night
29,21,7.375,28.9,Weekday,Night
29,22,5.8125,28.9,Weekday,Night
29,23,6.25,28,Weekday,Night
29,24,7.5625,28,Weekday,Night
30,1,5.75,27.9,Weekend,Night
30,2,5.9375,27.9,Weekend,Night
30,3,7.6875,27.9,Weekend,Night
